scenario,mean_deficit_6mo_pct,p95_deficit_6mo_pct,frac_above_4pct_6mo,mean_deficit_12mo_pct,p95_deficit_12mo_pct,frac_above_4pct_12mo
baseline,3.97,7.94,0.579,7.6,11.15,0.8058
+degas_50,3.38,6.91,0.5183,6.84,10.4,0.7936
+degas_10,2.88,6.02,0.4221,6.11,9.6,0.7763
+crf_1C,2.9,7.46,0.4145,6.28,10.95,0.6848
+crf_2C,2.31,7.14,0.3275,5.45,10.78,0.6079
+vortex_30s,2.49,4.97,0.2761,5.22,7.66,0.7721
+vortex_60s,2.05,4.09,0.0634,4.47,6.55,0.7432
+combined,1.04,3.32,0.0042,2.95,6.24,0.463
+combined_plus,0.32,1.03,0.0,1.15,2.44,0.0
+seeker_workaround,0.16,0.32,0.0,0.57,0.84,0.0
